time,gFx,gFy,gFz,TgF
13:37:54:7310,-0.0711,0.3291,0.9208,0.980
13:37:54:7330,-0.0706,0.3278,0.9222,0.981
13:37:54:7360,-0.0704,0.3274,0.9227,0.982
13:37:54:7380,-0.0711,0.3266,0.9220,0.981
13:37:54:7410,-0.0706,0.3269,0.9190,0.978
13:37:54:7430,-0.0682,0.3281,0.9151,0.975
13:37:54:7450,-0.0664,0.3283,0.9129,0.972
13:37:54:7480,-0.0660,0.3293,0.9122,0.972
13:37:54:7510,-0.0667,0.3305,0.9127,0.973
13:37:54:7540,-0.0674,0.3305,0.9139,0.974
13:37:54:7550,-0.0679,0.3303,0.9146,0.975
13:37:54:7570,-0.0672,0.3320,0.9149,0.976
13:37:54:7600,-0.0667,0.3337,0.9159,0.977
13:37:54:7620,-0.0672,0.3352,0.9168,0.978
13:37:54:7650,-0.0682,0.3359,0.9171,0.979
13:37:54:7680,-0.0682,0.3357,0.9173,0.979
13:37:54:7700,-0.0679,0.3364,0.9176,0.980
13:37:54:7720,-0.0686,0.3381,0.9183,0.981
13:37:54:7740,-0.0689,0.3393,0.9203,0.983
13:37:54:7770,-0.0689,0.3391,0.9215,0.984
13:37:54:7790,-0.0708,0.3401,0.9217,0.985
13:37:54:7820,-0.0713,0.3405,0.9227,0.986
13:37:54:7850,-0.0706,0.3420,0.9225,0.986
13:37:54:7870,-0.0713,0.3435,0.9215,0.986
13:37:54:7890,-0.0713,0.3437,0.9212,0.986
13:37:54:7910,-0.0701,0.3445,0.9210,0.986
13:37:54:7940,-0.0694,0.3447,0.9195,0.984
13:37:54:7960,-0.0691,0.3442,0.9193,0.984
13:37:54:7990,-0.0699,0.3420,0.9193,0.983
13:37:54:8040,-0.0704,0.3423,0.9183,0.983
13:37:54:8050,-0.0706,0.3430,0.9159,0.981
13:37:54:8060,-0.0726,0.3430,0.9137,0.979
13:37:54:8090,-0.0743,0.3442,0.9134,0.979
13:37:54:8120,-0.0770,0.3440,0.9122,0.978
13:37:54:8129,-0.0787,0.3430,0.9107,0.976
13:37:54:8159,-0.0801,0.3425,0.9098,0.975
13:37:54:8189,-0.0823,0.3425,0.9095,0.975
13:37:54:8200,-0.0835,0.3410,0.9102,0.976
13:37:54:8240,-0.0845,0.3408,0.9134,0.979
13:37:54:8250,-0.0833,0.3408,0.9159,0.981
13:37:54:8280,-0.0818,0.3403,0.9186,0.983
13:37:54:8300,-0.0831,0.3386,0.9222,0.986
13:37:54:8320,-0.0853,0.3369,0.9259,0.989
13:37:54:8350,-0.0870,0.3362,0.9291,0.992
13:37:54:8380,-0.0867,0.3335,0.9303,0.992
13:37:54:8400,-0.0850,0.3320,0.9295,0.991
13:37:54:8420,-0.0845,0.3332,0.9293,0.991
13:37:54:8460,-0.0838,0.3330,0.9288,0.990
13:37:54:8490,-0.0826,0.3313,0.9264,0.987
13:37:54:8500,-0.0823,0.3300,0.9256,0.986
13:37:54:8520,-0.0811,0.3300,0.9288,0.989
13:37:54:8550,-0.0782,0.3313,0.9298,0.990
13:37:54:8570,-0.0752,0.3303,0.9281,0.988
13:37:54:8590,-0.0770,0.3261,0.9237,0.983
13:37:54:8620,-0.0789,0.3252,0.9237,0.982
13:37:54:8640,-0.0782,0.3293,0.9293,0.989
13:37:54:8670,-0.0792,0.3335,0.9327,0.994
13:37:54:8690,-0.0833,0.3352,0.9339,0.996
13:37:54:8720,-0.0884,0.3352,0.9349,0.997
13:37:54:8740,-0.0933,0.3335,0.9366,0.999
13:37:54:8760,-0.0975,0.3332,0.9376,1.000
13:37:54:8790,-0.1006,0.3337,0.9386,1.001
13:37:54:8810,-0.1019,0.3347,0.9342,0.998
13:37:54:8900,-0.1011,0.3357,0.9261,0.990
13:37:54:8910,-0.0992,0.3344,0.9212,0.985
13:37:54:8920,-0.0938,0.3347,0.9215,0.985
13:37:54:8930,-0.0897,0.3330,0.9244,0.987
13:37:54:8940,-0.0894,0.3303,0.9300,0.991
13:37:54:9000,-0.0904,0.3313,0.9408,1.001
13:37:54:9010,-0.0926,0.3354,0.9491,1.011
13:37:54:9010,-0.0943,0.3405,0.9488,1.013
13:37:54:9140,-0.0958,0.3454,0.9425,1.008
13:37:54:9150,-0.0948,0.3498,0.9352,1.003
13:37:54:9150,-0.0926,0.3496,0.9259,0.994
13:37:54:9150,-0.0938,0.3442,0.9188,0.986
13:37:54:9150,-0.0953,0.3396,0.9173,0.983
13:37:54:9150,-0.0953,0.3386,0.9208,0.986
13:37:54:9180,-0.0943,0.3398,0.9259,0.991
13:37:54:9210,-0.0921,0.3442,0.9342,1.000
13:37:54:9230,-0.0899,0.3484,0.9474,1.013
13:37:54:9250,-0.0892,0.3508,0.9598,1.026
13:37:54:9270,-0.0889,0.3511,0.9679,1.033
13:37:54:9300,-0.0887,0.3506,0.9725,1.038
13:37:54:9330,-0.0872,0.3481,0.9728,1.037
13:37:54:9350,-0.0882,0.3449,0.9684,1.032
13:37:54:9370,-0.0867,0.3415,0.9701,1.032
13:37:54:9400,-0.0801,0.3388,0.9786,1.039
13:37:54:9420,-0.0716,0.3403,0.9884,1.048
13:37:54:9440,-0.0662,0.3415,1.0016,1.060
13:37:54:9470,-0.0682,0.3401,1.0160,1.074
13:37:54:9490,-0.0699,0.3418,1.0185,1.077
13:37:54:9520,-0.0757,0.3435,1.0234,1.082
13:37:54:9550,-0.0906,0.3410,1.0321,1.091
13:37:54:9570,-0.1063,0.3427,1.0273,1.088
