time,gFx,gFy,gFz,TgF
13:42:43:2310,0.1031,0.4317,0.7593,0.879
13:42:43:2330,0.0987,0.4197,0.7322,0.850
13:42:43:2360,0.0884,0.4104,0.7148,0.829
13:42:43:2380,0.0733,0.4104,0.7031,0.817
13:42:43:2420,0.0606,0.4207,0.6987,0.818
13:42:43:2430,0.0452,0.4388,0.7094,0.835
13:42:43:2460,0.0178,0.4639,0.7275,0.863
13:42:43:2480,-0.0161,0.4959,0.7378,0.889
13:42:43:2500,-0.0493,0.5321,0.7263,0.902
13:42:43:2530,-0.1036,0.5739,0.6989,0.910
13:42:43:2550,-0.1969,0.6208,0.6569,0.925
13:42:43:2580,-0.2988,0.6721,0.5973,0.947
13:42:43:2600,-0.3528,0.7270,0.5399,0.972
13:42:43:2620,-0.3388,0.7815,0.5135,0.995
13:42:43:2650,-0.2883,0.8299,0.5164,1.019
13:42:43:2670,-0.2333,0.8592,0.5174,1.030
13:42:43:2700,-0.1954,0.8641,0.5140,1.024
13:42:43:2720,-0.1871,0.8497,0.5116,1.009
13:42:43:2750,-0.2057,0.8240,0.4964,0.984
13:42:43:2770,-0.2348,0.7984,0.4825,0.962
13:42:43:2800,-0.2609,0.7752,0.4537,0.935
13:42:43:2819,-0.2814,0.7524,0.3794,0.888
13:42:43:2839,-0.2907,0.7329,0.2739,0.835
13:42:43:2870,-0.2831,0.7195,0.1556,0.789
13:42:43:2890,-0.2646,0.7082,-0.0149,0.756
13:42:43:2920,-0.2524,0.6906,-0.1637,0.753
13:42:43:2940,-0.2873,0.6738,-0.3787,0.825
13:42:43:2960,-0.3713,0.6620,-0.4114,0.863
13:42:43:2990,-0.4493,0.6574,0.0044,0.796
13:42:43:3010,-0.4747,0.6738,0.5269,0.978
13:42:43:3030,-0.4219,0.7251,0.9398,1.260
13:42:43:3060,-0.3117,0.8035,1.1690,1.452
13:42:43:3090,-0.1822,0.8836,1.2601,1.550
13:42:43:3110,-0.0540,0.9344,1.0937,1.440
13:42:43:3130,0.0237,0.9398,0.7273,1.189
13:42:43:3160,0.0310,0.9117,0.4737,1.028
13:42:43:3180,0.0129,0.8694,0.3684,0.944
13:42:43:3210,0.0042,0.8282,0.3332,0.893
13:42:43:3230,0.0044,0.7947,0.3325,0.861
13:42:43:3260,0.0095,0.7734,0.3662,0.856
13:42:43:3280,0.0203,0.7615,0.4224,0.871
13:42:43:3300,0.0283,0.7556,0.4651,0.888
13:42:43:3330,0.0278,0.7583,0.4881,0.902
13:42:43:3350,0.0220,0.7664,0.4893,0.910
13:42:43:3380,0.0129,0.7830,0.4793,0.918
13:42:43:3400,0.0034,0.8113,0.5284,0.968
13:42:43:3430,0.0098,0.8521,0.6515,1.073
13:42:43:3449,0.0420,0.9005,0.7583,1.178
13:42:43:3469,0.0879,0.9488,0.7971,1.242
13:42:43:3500,0.1287,1.0063,0.8069,1.296
13:42:43:3520,0.1588,1.0703,0.7952,1.343
13:42:43:3550,0.1810,1.1282,0.7537,1.369
13:42:43:3570,0.1923,1.1753,0.7043,1.384
13:42:43:3660,0.1945,1.2080,0.6620,1.391
