time,gFx,gFy,gFz,TgF
13:44:50:6130,-0.2228,0.5059,0.8861,1.044
13:44:50:6150,-0.2189,0.4881,0.8963,1.044
13:44:50:6170,-0.2072,0.4705,0.8975,1.034
13:44:50:6200,-0.1971,0.4610,0.8909,1.022
13:44:50:6220,-0.1903,0.4637,0.8846,1.017
13:44:50:6250,-0.1876,0.4737,0.8804,1.017
13:44:50:6270,-0.1869,0.4815,0.8756,1.017
13:44:50:6290,-0.1891,0.4847,0.8741,1.017
13:44:50:6320,-0.1959,0.4874,0.8712,1.017
13:44:50:6350,-0.2006,0.4905,0.8609,1.011
13:44:50:6370,-0.2003,0.4918,0.8470,1.000
13:44:50:6390,-0.2030,0.4901,0.8340,0.988
13:44:50:6420,-0.2057,0.4830,0.8272,0.980
13:44:50:6440,-0.2052,0.4737,0.8228,0.971
13:44:50:6470,-0.2025,0.4649,0.8172,0.962
13:44:50:6500,-0.1959,0.4576,0.8125,0.953
13:44:50:6520,-0.1879,0.4495,0.8096,0.945
13:44:50:6540,-0.1803,0.4419,0.8067,0.937
13:44:50:6560,-0.1774,0.4348,0.8062,0.933
13:44:50:6590,-0.1781,0.4314,0.8079,0.933
13:44:50:6610,-0.1742,0.4361,0.8042,0.931
13:44:50:6630,-0.1688,0.4388,0.7993,0.927
13:44:50:6660,-0.1903,0.4322,0.7969,0.926
13:44:50:6680,-0.1681,0.4275,0.7932,0.917
13:44:50:6710,-0.1368,0.4265,0.7954,0.913
13:44:50:6730,-0.1476,0.4246,0.8074,0.924
13:44:50:6750,-0.1495,0.4207,0.8167,0.931
13:44:50:6780,-0.1573,0.4129,0.8137,0.926
13:44:50:6800,-0.1603,0.4082,0.8052,0.917
13:44:50:6830,-0.1588,0.4116,0.8008,0.914
13:44:50:6870,-0.1585,0.4153,0.7991,0.914
13:44:50:6879,-0.1649,0.4124,0.7993,0.914
13:44:50:6899,-0.1720,0.4085,0.8003,0.915
13:44:50:6929,-0.1776,0.4094,0.8008,0.917
13:44:50:6949,-0.1844,0.4119,0.8020,0.920
13:44:50:6990,-0.1906,0.4126,0.8025,0.922
13:44:50:7000,-0.1947,0.4133,0.8069,0.927
13:44:50:7030,-0.1986,0.4153,0.8147,0.936
13:44:50:7050,-0.2067,0.4133,0.8201,0.941
13:44:50:7070,-0.2162,0.4102,0.8255,0.947
13:44:50:7090,-0.2252,0.4055,0.8267,0.948
13:44:50:7120,-0.2357,0.3965,0.8274,0.947
13:44:50:7160,-0.2509,0.3794,0.8318,0.948
13:44:50:7170,-0.4390,0.0953,0.8223,0.937
13:44:50:7190,-0.6332,-0.1896,0.7883,1.029
13:44:50:7220,-0.5756,-0.1341,0.7026,0.918
13:44:50:7240,-0.4163,0.0134,0.6227,0.749
13:44:50:7270,-0.2646,0.1600,0.6176,0.691
13:44:50:7290,-0.1495,0.2861,0.6574,0.732
