time,gFx,gFy,gFz,TgF
13:44:10:1700,0.1940,0.3281,1.0453,1.113
13:44:10:1729,0.1971,0.3183,1.0685,1.132
13:44:10:1750,0.2040,0.3068,1.0844,1.145
13:44:10:1830,0.2113,0.2902,1.0932,1.151
13:44:10:1840,0.2204,0.2729,1.1093,1.163
13:44:10:1850,0.2291,0.2548,1.1240,1.175
13:44:10:1850,0.2353,0.2335,1.1208,1.169
13:44:10:1870,0.2423,0.2116,1.1150,1.160
13:44:10:1910,0.2482,0.1910,1.1130,1.156
13:44:10:1930,0.2489,0.1730,1.1113,1.152
13:44:10:1970,0.2502,0.1612,1.1159,1.155
13:44:10:1980,0.2541,0.1561,1.1299,1.169
13:44:10:1990,0.2550,0.1524,1.1423,1.180
13:44:10:2020,0.2580,0.1522,1.1438,1.182
13:44:10:2039,0.2638,0.1554,1.1343,1.175
13:44:10:2060,0.2653,0.1595,1.1221,1.164
13:44:10:2090,0.2580,0.1639,1.1150,1.156
13:44:10:2120,0.2509,0.1715,1.1047,1.146
13:44:10:2160,0.2458,0.1818,1.0905,1.133
13:44:10:2170,0.2382,0.1930,1.0756,1.118
13:44:10:2190,0.2338,0.2057,1.0583,1.103
13:44:10:2210,0.2265,0.2184,1.0365,1.083
13:44:10:2240,0.2162,0.2311,1.0089,1.057
13:44:10:2260,0.2057,0.2421,0.9804,1.031
13:44:10:2290,0.1974,0.2528,0.9518,1.004
13:44:10:2310,0.1923,0.2658,0.9225,0.979
13:44:10:2340,0.1991,0.2910,0.8787,0.947
13:44:10:2360,0.2108,0.3186,0.8450,0.927
13:44:10:2380,0.1835,0.3159,0.8594,0.934
13:44:10:2410,0.1461,0.3085,0.8680,0.933
13:44:10:2430,0.1346,0.3151,0.8477,0.914
13:44:10:2470,0.1212,0.3186,0.8365,0.903
13:44:10:2480,0.1065,0.3232,0.8272,0.894
13:44:10:2510,0.0982,0.3288,0.8120,0.882
13:44:10:2530,0.0919,0.3322,0.7998,0.871
13:44:10:2550,0.0870,0.3347,0.7915,0.864
13:44:10:2580,0.0867,0.3391,0.7852,0.860
13:44:10:2600,0.0928,0.3435,0.7817,0.859
13:44:10:2640,0.1006,0.3462,0.7830,0.862
13:44:10:2650,0.1082,0.3471,0.7869,0.867
13:44:10:2680,0.1165,0.3469,0.7935,0.874
13:44:10:2700,0.1287,0.3469,0.8052,0.886
13:44:10:2730,0.1480,0.3481,0.8191,0.902
13:44:10:2750,0.1717,0.3513,0.8340,0.921
13:44:10:2780,0.1935,0.3518,0.8541,0.944
