time,gFx,gFy,gFz,TgF
13:45:34:8020,-0.0462,0.2565,0.9173,0.954
13:45:34:8040,-0.0498,0.2536,0.9054,0.942
13:45:34:8070,-0.0574,0.2524,0.8924,0.929
13:45:34:8110,-0.0628,0.2553,0.8817,0.920
13:45:34:8120,-0.0618,0.2609,0.8731,0.913
13:45:34:8139,-0.0552,0.2687,0.8651,0.908
13:45:34:8159,-0.0479,0.2753,0.8589,0.903
13:45:34:8189,-0.0437,0.2773,0.8553,0.900
13:45:34:8210,-0.0462,0.2753,0.8499,0.895
13:45:34:8250,-0.0577,0.2717,0.8436,0.888
13:45:34:8270,-0.0738,0.2697,0.8399,0.885
13:45:34:8280,-0.0914,0.2704,0.8352,0.883
13:45:34:8310,-0.1070,0.2753,0.8323,0.883
13:45:34:8330,-0.1148,0.2863,0.8338,0.889
13:45:34:8350,-0.1156,0.2998,0.8348,0.894
13:45:34:8380,-0.1151,0.3100,0.8350,0.898
13:45:34:8410,-0.1156,0.3142,0.8360,0.901
13:45:34:8430,-0.1004,0.3191,0.8436,0.907
13:45:34:8450,-0.0899,0.2895,0.8555,0.908
13:45:34:8480,-0.0945,0.2524,0.8729,0.914
13:45:34:8500,-0.1119,0.2634,0.8795,0.925
13:45:34:8520,-0.1341,0.2897,0.8736,0.930
13:45:34:8620,-0.1370,0.3010,0.8836,0.943
13:45:34:8630,-0.1356,0.2968,0.9132,0.970
13:45:34:8640,-0.1324,0.2956,0.9498,1.004
13:45:34:8640,-0.1251,0.2983,0.9730,1.025
13:45:34:8650,-0.1168,0.2966,0.9838,1.034
13:45:34:8670,-0.1097,0.2870,0.9965,1.043
13:45:34:8700,-0.1048,0.2753,1.0080,1.050
13:45:34:8730,-0.1019,0.2665,1.0131,1.053
13:45:34:8750,-0.0985,0.2616,1.0138,1.052
13:45:34:8770,-0.0938,0.2609,1.0087,1.046
13:45:34:8790,-0.0884,0.2616,0.9984,1.036
13:45:34:8820,-0.0833,0.2631,0.9882,1.026
13:45:34:8840,-0.0804,0.2631,0.9786,1.017
13:45:34:8860,-0.0777,0.2602,0.9677,1.005
13:45:34:8890,-0.0755,0.2558,0.9554,0.992
13:45:34:8910,-0.0743,0.2521,0.9457,0.982
